VBELN,AUART,KUNNR,MATNR,KWMENG,NETWR,WADAT,WERKS,GBSTA,ERDAT
SO-16565770,OR,CUST-1019,MAT-CG-10036,55,3087597.26,2026-11-28,PL-MUM,A,2026-08-07
SO-90971604,OR,CUST-1043,MAT-CG-10043,149,707797.69,2026-09-12,PL-DEL,B,2026-05-24
SO-92019078,CS,CUST-1089,MAT-CG-10011,74,5831227.16,2027-01-24,PL-NGP,A,2026-01-02
SO-58343701,OR,CUST-1012,MAT-CG-10048,150,1745831.8,2026-11-21,PL-KOL,B,2026-07-20
SO-83882978,OR,CUST-1038,MAT-CG-10049,111,1705504.14,2026-10-01,PL-CHE,A,2025-11-27
SO-38164968,CS,CUST-1027,MAT-CG-10027,136,19112884.31,2026-09-27,PL-JAI,C,2025-10-05
SO-74916146,CS,CUST-1089,MAT-CG-10034,24,637473.41,2026-11-12,PL-AHM,B,2026-03-14
SO-87194344,RO,CUST-1046,MAT-CG-10017,136,9025651.93,2027-02-04,PL-JAI,B,2025-11-30
SO-76102828,OR,CUST-1079,MAT-CG-10047,129,987128.31,2026-11-13,PL-HYD,A,2026-06-24
SO-93947919,OR,CUST-1095,MAT-CG-10002,121,687938.8,2027-02-04,PL-AHM,B,2026-07-31
SO-85217695,CS,CUST-1028,MAT-CG-10022,91,17446802.27,2026-10-21,PL-CHE,A,2026-07-20
SO-78006730,RO,CUST-1042,MAT-CG-10020,78,9681626.95,2026-09-29,PL-KOL,A,2026-02-02
SO-92677226,OR,CUST-1023,MAT-CG-10047,147,1118579.92,2026-11-25,PL-PUN,B,2026-08-05
SO-74625235,OR,CUST-1081,MAT-CG-10042,36,107122.21,2027-01-15,PL-KOL,B,2026-01-24
SO-79937264,OR,CUST-1073,MAT-CG-10048,16,185135.11,2026-11-19,PL-NGP,B,2026-08-14
SO-54522609,OR,CUST-1009,MAT-CG-10014,149,4378136.58,2026-11-10,PL-MUM,A,2026-02-12
SO-32276047,RO,CUST-1078,MAT-CG-10041,138,9909807.88,2027-01-30,PL-DEL,A,2026-03-15
SO-46439766,OR,CUST-1012,MAT-CG-10046,10,107480.96,2026-10-30,PL-KOL,B,2026-03-22
SO-50576475,OR,CUST-1015,MAT-CG-10014,136,3685615.94,2026-09-09,PL-HYD,A,2026-01-08
SO-74781956,RO,CUST-1020,MAT-CG-10033,8,132419.67,2027-01-01,PL-NGP,A,2026-03-09
SO-79276026,CS,CUST-1017,MAT-CG-10010,27,1646294.06,2026-09-09,PL-PUN,B,2025-11-29
SO-51739205,OR,CUST-1088,MAT-CG-10008,3,129393.81,2026-09-22,PL-KOL,B,2026-07-31
SO-98447373,CS,CUST-1040,MAT-CG-10007,135,3712102.65,2026-11-18,PL-HYD,A,2026-05-13
SO-47131272,RO,CUST-1041,MAT-CG-10013,75,1601262.83,2027-02-18,PL-DEL,A,2026-06-08
SO-25362614,OR,CUST-1080,MAT-CG-10011,72,5566003.97,2026-09-26,PL-HYD,B,2026-02-25
SO-46379997,OR,CUST-1091,MAT-CG-10036,83,5176652.2,2027-01-24,PL-HYD,A,2026-07-18
SO-82555030,OR,CUST-1007,MAT-CG-10020,88,9990149.96,2026-12-29,PL-MUM,A,2026-02-08
SO-67239263,OR,CUST-1023,MAT-CG-10004,24,258480.25,2027-01-29,PL-PUN,B,2026-02-22
SO-36594858,CS,CUST-1098,MAT-CG-10020,87,10659525.47,2027-01-14,PL-DEL,B,2025-11-06
SO-72850928,OR,CUST-1059,MAT-CG-10009,25,1297250.06,2027-02-11,PL-PUN,B,2026-04-27
SO-92804565,OR,CUST-1047,MAT-CG-10015,38,1329880.68,2027-02-26,PL-KOL,A,2026-01-03
SO-18773168,OR,CUST-1015,MAT-CG-10032,9,230753.2,2026-12-27,PL-BLR,A,2026-02-26
SO-27098533,RO,CUST-1014,MAT-CG-10039,149,4949572.95,2026-09-27,PL-KOL,B,2025-09-25
SO-81503899,OR,CUST-1052,MAT-CG-10005,79,1383703.88,2026-10-31,PL-JAI,A,2025-11-16
SO-61514973,OR,CUST-1044,MAT-CG-10011,125,9194977.33,2027-02-24,PL-JAI,B,2026-01-13
SO-83085160,CS,CUST-1031,MAT-CG-10037,89,7784394.68,2027-02-18,PL-DEL,C,2025-11-03
SO-89478790,RO,CUST-1060,MAT-CG-10032,31,791875.66,2026-09-24,PL-PUN,A,2026-03-19
SO-90296988,OR,CUST-1088,MAT-CG-10026,19,1946778.2,2026-12-06,PL-KOL,B,2025-09-27
SO-22151134,OR,CUST-1018,MAT-CG-10043,17,80404.07,2027-02-09,PL-MUM,A,2025-09-19
SO-81303949,OR,CUST-1050,MAT-CG-10010,117,7558393.98,2026-12-23,PL-HYD,A,2025-09-09
SO-86541203,CS,CUST-1039,MAT-CG-10021,78,12193429.82,2026-12-20,PL-KOL,A,2025-10-29
SO-64250458,OR,CUST-1038,MAT-CG-10001,132,486826.05,2027-01-18,PL-MUM,A,2025-11-10
SO-47877483,OR,CUST-1031,MAT-CG-10023,30,8612944.04,2027-01-29,PL-AHM,C,2026-03-14
SO-64496780,OR,CUST-1056,MAT-CG-10046,99,1071175.31,2027-02-16,PL-BLR,B,2026-06-13
SO-61619474,OR,CUST-1054,MAT-CG-10013,144,2819693.44,2027-02-18,PL-BLR,A,2026-08-18
SO-29326800,CS,CUST-1063,MAT-CG-10005,6,106063.88,2026-10-04,PL-DEL,A,2025-09-29
SO-91125155,OR,CUST-1080,MAT-CG-10027,118,15601877.58,2027-01-08,PL-AHM,B,2026-01-05
SO-40298433,OR,CUST-1055,MAT-CG-10025,92,5410783.16,2027-01-25,PL-PUN,C,2026-04-24
SO-46138183,OR,CUST-1070,MAT-CG-10046,130,1412664.08,2026-09-08,PL-MUM,B,2025-12-19
SO-25188664,RO,CUST-1062,MAT-CG-10046,96,1098508.6,2026-09-20,PL-BLR,C,2025-11-27
SO-72402697,RO,CUST-1011,MAT-CG-10049,73,1129864.82,2027-02-03,PL-DEL,A,2025-12-25
SO-95052118,RO,CUST-1075,MAT-CG-10041,21,1491603.69,2026-09-13,PL-KOL,B,2026-08-18
SO-78808477,OR,CUST-1074,MAT-CG-10031,118,2255550.96,2026-12-16,PL-KOL,A,2026-03-28
SO-90213415,CS,CUST-1039,MAT-CG-10011,11,869984.7,2027-01-22,PL-CHE,A,2025-10-05
SO-32693431,RO,CUST-1007,MAT-CG-10031,150,2837305.11,2026-11-13,PL-JAI,A,2026-03-30
SO-27021671,RO,CUST-1010,MAT-CG-10032,23,631563.0,2026-11-10,PL-CHE,A,2025-10-12
SO-44488013,OR,CUST-1095,MAT-CG-10018,72,5349464.6,2026-10-14,PL-JAI,C,2026-06-07
SO-59629263,OR,CUST-1034,MAT-CG-10043,116,541058.49,2026-10-30,PL-PUN,A,2025-11-26
SO-21328172,OR,CUST-1077,MAT-CG-10003,89,741179.94,2026-10-09,PL-PUN,B,2026-02-08
SO-95573823,OR,CUST-1027,MAT-CG-10016,114,5602602.96,2026-11-27,PL-MUM,C,2026-04-10
SO-17049544,OR,CUST-1060,MAT-CG-10049,31,471519.54,2026-11-16,PL-PUN,C,2025-11-24
SO-62354374,OR,CUST-1034,MAT-CG-10015,99,3343926.98,2026-12-20,PL-MUM,A,2026-01-06
SO-81169409,CS,CUST-1006,MAT-CG-10025,82,4487430.03,2027-01-14,PL-KOL,B,2025-10-15
SO-54958564,OR,CUST-1035,MAT-CG-10042,71,221361.22,2026-11-04,PL-JAI,B,2025-12-30
SO-89017236,OR,CUST-1067,MAT-CG-10050,63,1381760.64,2027-02-23,PL-BLR,A,2025-11-16
SO-19120357,OR,CUST-1053,MAT-CG-10001,4,14829.37,2026-09-26,PL-PUN,A,2026-05-03
SO-43808923,OR,CUST-1005,MAT-CG-10047,74,549167.99,2026-09-23,PL-MUM,B,2025-09-21
SO-26103055,OR,CUST-1078,MAT-CG-10014,33,863385.41,2027-02-15,PL-JAI,A,2026-06-28
SO-44002147,OR,CUST-1060,MAT-CG-10045,49,393432.85,2026-09-19,PL-PUN,A,2026-01-17
SO-44539133,OR,CUST-1100,MAT-CG-10045,84,620659.6,2026-09-15,PL-AHM,B,2026-03-06
SO-45522715,OR,CUST-1057,MAT-CG-10004,68,669463.0,2026-10-21,PL-JAI,B,2026-05-24
SO-24553291,OR,CUST-1070,MAT-CG-10042,127,394180.35,2026-10-25,PL-JAI,C,2026-06-30
SO-23862962,OR,CUST-1010,MAT-CG-10029,68,549998.49,2026-11-03,PL-PUN,A,2025-12-12
SO-15078212,CS,CUST-1050,MAT-CG-10010,2,123030.6,2027-02-26,PL-KOL,B,2025-11-02
SO-75857881,OR,CUST-1056,MAT-CG-10001,133,515313.34,2026-09-17,PL-NGP,A,2026-08-22
SO-26267678,RO,CUST-1069,MAT-CG-10025,125,7684555.0,2026-11-30,PL-KOL,C,2026-03-21
SO-94862181,CS,CUST-1012,MAT-CG-10026,16,1541393.61,2026-11-26,PL-DEL,B,2026-03-28
SO-33705307,RO,CUST-1006,MAT-CG-10042,53,168883.73,2027-02-16,PL-HYD,A,2025-09-01
SO-94639988,CS,CUST-1046,MAT-CG-10025,29,1677975.34,2027-02-08,PL-PUN,C,2026-05-18
SO-35916466,OR,CUST-1093,MAT-CG-10009,11,626705.22,2026-10-31,PL-PUN,B,2026-07-22
SO-96356711,OR,CUST-1064,MAT-CG-10051,140,4340084.39,2026-12-24,PL-MUM,A,2026-03-03
SO-15746469,OR,CUST-1016,MAT-CG-10004,88,884593.9,2027-02-14,PL-NGP,B,2025-09-10
SO-87758465,OR,CUST-1010,MAT-CG-10035,40,1609621.14,2026-10-06,PL-PUN,C,2026-08-14
SO-42572300,CS,CUST-1084,MAT-CG-10031,13,228306.05,2026-10-14,PL-MUM,A,2026-07-05
SO-89328380,OR,CUST-1014,MAT-CG-10030,45,537542.34,2027-01-30,PL-JAI,A,2026-07-22
SO-55277425,CS,CUST-1087,MAT-CG-10013,111,2252161.65,2026-09-30,PL-JAI,B,2026-06-14
SO-16118522,RO,CUST-1023,MAT-CG-10021,56,8083669.81,2026-09-30,PL-CHE,A,2026-01-23
SO-84277128,OR,CUST-1057,MAT-CG-10011,96,7097976.15,2027-01-26,PL-MUM,A,2026-07-03
SO-31173338,OR,CUST-1063,MAT-CG-10051,98,2847517.4,2026-09-01,PL-BLR,A,2025-09-24
SO-65864403,CS,CUST-1099,MAT-CG-10038,74,1517103.28,2026-10-02,PL-HYD,A,2025-09-30
SO-70454232,OR,CUST-1031,MAT-CG-10018,135,11248731.7,2027-02-03,PL-MUM,B,2026-05-23
SO-92147935,OR,CUST-1081,MAT-CG-10046,129,1450036.49,2026-11-16,PL-KOL,B,2026-08-21
SO-35756766,OR,CUST-1068,MAT-CG-10036,62,3956028.12,2027-02-05,PL-KOL,B,2025-12-07
SO-94082607,CS,CUST-1027,MAT-CG-10015,120,4131065.68,2026-10-19,PL-DEL,A,2025-09-07
SO-33665782,OR,CUST-1086,MAT-CG-10031,129,2528523.89,2026-09-13,PL-KOL,A,2026-05-08
SO-54868265,RO,CUST-1098,MAT-CG-10028,66,416894.45,2026-09-26,PL-MUM,B,2026-05-25
SO-75103838,RO,CUST-1015,MAT-CG-10011,9,648858.26,2026-10-30,PL-PUN,B,2025-10-31
SO-36675960,CS,CUST-1087,MAT-CG-10021,109,16994470.83,2026-10-28,PL-DEL,A,2026-04-29
SO-65377624,OR,CUST-1049,MAT-CG-10007,62,1925418.7,2026-09-18,PL-PUN,B,2025-12-18
SO-29453688,OR,CUST-1079,MAT-CG-10004,113,1175930.74,2026-12-08,PL-KOL,A,2026-01-01
SO-94828438,OR,CUST-1035,MAT-CG-10047,51,388540.59,2026-10-02,PL-MUM,C,2025-11-05
SO-28320921,OR,CUST-1060,MAT-CG-10004,73,760053.44,2026-10-13,PL-KOL,A,2026-03-25
SO-95630804,RO,CUST-1022,MAT-CG-10039,42,1429075.55,2027-01-19,PL-HYD,A,2026-01-25
SO-39050434,RO,CUST-1061,MAT-CG-10034,127,3480643.29,2026-11-10,PL-MUM,C,2026-01-16
SO-43263373,OR,CUST-1056,MAT-CG-10048,65,737357.96,2027-01-29,PL-BLR,B,2026-08-21
SO-15376584,OR,CUST-1094,MAT-CG-10027,13,1866123.83,2026-09-08,PL-AHM,B,2026-02-03
SO-70725652,OR,CUST-1031,MAT-CG-10031,27,470876.69,2026-09-03,PL-AHM,A,2026-06-17
SO-42086411,CS,CUST-1012,MAT-CG-10023,77,20816332.89,2027-02-18,PL-CHE,A,2025-12-31
SO-71047698,OR,CUST-1099,MAT-CG-10037,8,696208.55,2026-12-12,PL-BLR,A,2025-10-07
SO-94195455,OR,CUST-1050,MAT-CG-10030,2,26625.95,2026-11-24,PL-NGP,A,2026-03-25
SO-92208524,RO,CUST-1074,MAT-CG-10028,71,469900.66,2027-02-22,PL-DEL,B,2026-03-05
SO-79086760,CS,CUST-1047,MAT-CG-10048,16,189203.93,2026-09-28,PL-AHM,A,2025-12-28
SO-59066128,OR,CUST-1023,MAT-CG-10040,12,595459.77,2026-09-17,PL-NGP,C,2026-05-11
SO-42028739,RO,CUST-1015,MAT-CG-10009,87,4732745.59,2027-01-26,PL-HYD,C,2026-04-30
SO-45884163,RO,CUST-1088,MAT-CG-10021,92,13445520.71,2026-09-13,PL-DEL,A,2026-02-28
SO-77303492,RO,CUST-1016,MAT-CG-10029,126,1079355.81,2027-01-14,PL-NGP,A,2026-01-04
SO-18808386,OR,CUST-1059,MAT-CG-10040,96,4399699.89,2026-12-09,PL-BLR,A,2026-07-15
SO-47036407,OR,CUST-1090,MAT-CG-10007,44,1232478.36,2026-10-08,PL-HYD,B,2025-10-06
SO-65906603,CS,CUST-1070,MAT-CG-10002,77,442635.89,2026-12-30,PL-KOL,B,2026-01-08
SO-49126722,OR,CUST-1009,MAT-CG-10048,7,73320.64,2026-10-29,PL-NGP,C,2026-03-05
SO-56008827,CS,CUST-1083,MAT-CG-10027,150,21584775.11,2027-01-02,PL-JAI,C,2025-09-01
SO-69761289,OR,CUST-1039,MAT-CG-10034,142,3752321.04,2026-11-17,PL-BLR,A,2026-04-29
SO-48674340,OR,CUST-1019,MAT-CG-10031,97,1759088.52,2026-12-25,PL-BLR,B,2026-06-02
SO-48285148,OR,CUST-1023,MAT-CG-10046,139,1565112.32,2027-02-24,PL-BLR,A,2026-04-24
SO-52496800,RO,CUST-1017,MAT-CG-10008,12,489622.6,2026-12-03,PL-BLR,A,2025-11-09
SO-99329049,OR,CUST-1045,MAT-CG-10046,10,102261.77,2026-12-23,PL-NGP,A,2025-11-23
SO-13345404,OR,CUST-1064,MAT-CG-10020,33,4096888.7,2026-12-26,PL-KOL,A,2026-08-21
SO-78103287,OR,CUST-1083,MAT-CG-10048,141,1627211.08,2026-12-30,PL-CHE,B,2025-09-16
SO-69338400,OR,CUST-1089,MAT-CG-10010,146,8782319.04,2026-12-31,PL-MUM,A,2025-09-10
SO-51350093,OR,CUST-1052,MAT-CG-10036,31,1885351.27,2026-10-26,PL-PUN,A,2026-07-07
SO-91624673,CS,CUST-1025,MAT-CG-10021,16,2391098.91,2026-10-26,PL-CHE,A,2026-08-12
SO-69788371,CS,CUST-1086,MAT-CG-10006,139,3317622.25,2027-01-09,PL-AHM,A,2025-12-15
SO-17522583,CS,CUST-1047,MAT-CG-10021,132,19222611.05,2026-12-18,PL-KOL,B,2026-02-14
SO-56294407,OR,CUST-1040,MAT-CG-10001,74,309891.86,2027-01-21,PL-DEL,A,2026-01-08
SO-69391930,OR,CUST-1021,MAT-CG-10048,108,1263259.75,2026-12-17,PL-AHM,A,2025-10-27
SO-29278938,OR,CUST-1039,MAT-CG-10039,24,804988.55,2027-01-12,PL-KOL,A,2025-10-25
SO-21871327,OR,CUST-1053,MAT-CG-10049,98,1541073.41,2026-11-08,PL-AHM,A,2025-11-12
SO-28378036,OR,CUST-1024,MAT-CG-10030,147,1941231.72,2026-11-13,PL-NGP,B,2026-08-02
SO-76317044,RO,CUST-1095,MAT-CG-10020,79,9406675.24,2026-09-06,PL-MUM,A,2026-04-11
SO-26666744,CS,CUST-1086,MAT-CG-10020,122,15398145.06,2026-12-15,PL-BLR,B,2025-09-05
SO-13817499,OR,CUST-1098,MAT-CG-10042,64,185556.63,2026-09-17,PL-JAI,C,2026-02-19
SO-85910136,OR,CUST-1034,MAT-CG-10038,125,2617008.59,2026-12-30,PL-DEL,A,2025-12-04
SO-12354860,OR,CUST-1021,MAT-CG-10047,149,1197621.5,2026-10-07,PL-KOL,B,2025-09-03
SO-31918943,OR,CUST-1035,MAT-CG-10009,93,4860758.57,2027-02-09,PL-KOL,A,2026-03-28
SO-95757950,OR,CUST-1066,MAT-CG-10019,137,12018900.54,2027-02-07,PL-BLR,A,2025-10-21
SO-82975834,OR,CUST-1041,MAT-CG-10049,44,709655.46,2027-02-22,PL-CHE,A,2025-09-07
SO-22862542,RO,CUST-1075,MAT-CG-10045,94,723046.05,2026-10-06,PL-MUM,A,2025-12-01
SO-75082045,OR,CUST-1044,MAT-CG-10019,97,9408258.92,2026-10-11,PL-DEL,A,2026-06-05
SO-35288872,RO,CUST-1079,MAT-CG-10033,58,1029709.67,2027-01-12,PL-NGP,C,2025-11-14
SO-66015266,OR,CUST-1010,MAT-CG-10045,31,230493.98,2026-10-03,PL-MUM,B,2026-02-26
SO-28658140,OR,CUST-1077,MAT-CG-10020,94,11286085.11,2026-11-26,PL-BLR,C,2026-03-21
SO-39844365,OR,CUST-1089,MAT-CG-10002,32,164906.85,2026-10-28,PL-CHE,A,2026-05-08
SO-67016371,CS,CUST-1098,MAT-CG-10009,22,1218792.53,2026-09-19,PL-MUM,B,2026-01-15
SO-24471004,OR,CUST-1085,MAT-CG-10003,52,409173.4,2026-09-15,PL-PUN,A,2026-04-16
SO-50486214,CS,CUST-1002,MAT-CG-10003,18,146375.44,2026-10-01,PL-JAI,A,2025-10-27
SO-57182050,OR,CUST-1012,MAT-CG-10013,49,958258.35,2026-11-10,PL-JAI,A,2026-02-24
SO-92269619,OR,CUST-1065,MAT-CG-10011,130,10064432.16,2026-09-25,PL-JAI,A,2025-11-26
SO-47830178,OR,CUST-1097,MAT-CG-10014,51,1413968.88,2026-09-25,PL-HYD,B,2025-12-23
SO-69010948,CS,CUST-1014,MAT-CG-10024,49,1663716.2,2026-11-29,PL-AHM,B,2026-05-06
SO-64704189,OR,CUST-1098,MAT-CG-10033,60,1107779.62,2026-10-01,PL-PUN,A,2025-11-30
SO-58486215,CS,CUST-1037,MAT-CG-10009,128,6875948.68,2026-09-10,PL-DEL,A,2025-12-14
SO-48065683,OR,CUST-1077,MAT-CG-10008,100,4249091.77,2027-02-22,PL-PUN,A,2025-11-13
SO-67440042,OR,CUST-1009,MAT-CG-10027,76,11094106.04,2026-12-30,PL-KOL,A,2026-08-17
SO-24115931,OR,CUST-1057,MAT-CG-10044,127,738538.77,2027-02-20,PL-DEL,A,2026-06-11
SO-89263249,OR,CUST-1095,MAT-CG-10026,104,10813942.13,2026-10-13,PL-DEL,A,2026-05-14
SO-89854290,OR,CUST-1016,MAT-CG-10022,53,10497183.8,2026-12-17,PL-PUN,A,2025-10-30
SO-96413557,OR,CUST-1046,MAT-CG-10038,71,1455561.29,2027-02-01,PL-AHM,B,2025-12-05
SO-71020042,OR,CUST-1016,MAT-CG-10018,39,2956883.8,2027-01-05,PL-HYD,C,2026-06-16
SO-17093731,OR,CUST-1064,MAT-CG-10002,27,150046.91,2026-10-15,PL-AHM,B,2025-09-10
SO-50634767,RO,CUST-1080,MAT-CG-10021,41,5716986.4,2026-09-19,PL-NGP,B,2025-12-28
SO-98864649,OR,CUST-1063,MAT-CG-10013,77,1584945.9,2027-01-16,PL-KOL,B,2025-11-17
SO-67768169,OR,CUST-1050,MAT-CG-10002,10,53853.87,2026-12-05,PL-PUN,B,2026-08-05
SO-84714519,CS,CUST-1100,MAT-CG-10003,47,359029.46,2026-10-12,PL-PUN,B,2026-06-16
SO-75425092,OR,CUST-1073,MAT-CG-10020,101,12381833.31,2027-02-15,PL-NGP,C,2025-11-20
SO-73875700,RO,CUST-1021,MAT-CG-10037,122,11189250.44,2026-12-09,PL-CHE,B,2025-10-25
SO-48176560,OR,CUST-1008,MAT-CG-10025,92,4983351.55,2026-09-11,PL-BLR,A,2026-02-26
SO-93906615,OR,CUST-1049,MAT-CG-10048,8,84734.93,2026-11-27,PL-KOL,B,2026-02-25
SO-43234179,OR,CUST-1083,MAT-CG-10004,64,652698.68,2026-09-21,PL-DEL,A,2026-06-26
SO-12645698,RO,CUST-1042,MAT-CG-10022,45,8661105.0,2027-02-15,PL-AHM,B,2025-12-03
SO-12738346,CS,CUST-1061,MAT-CG-10027,70,9805103.9,2026-11-20,PL-AHM,B,2026-02-05
SO-23116517,OR,CUST-1013,MAT-CG-10021,148,22444251.18,2026-10-22,PL-KOL,B,2025-12-09
SO-32364326,RO,CUST-1039,MAT-CG-10049,88,1331822.98,2026-12-20,PL-HYD,B,2025-10-02
SO-81918425,OR,CUST-1037,MAT-CG-10051,21,626797.82,2026-11-15,PL-JAI,B,2026-04-30
SO-87603784,OR,CUST-1076,MAT-CG-10040,25,1187925.63,2026-09-17,PL-JAI,B,2025-12-23
SO-56616029,OR,CUST-1084,MAT-CG-10028,55,365430.19,2027-01-07,PL-CHE,B,2025-09-18
SO-36853878,OR,CUST-1052,MAT-CG-10035,82,3404850.2,2027-01-09,PL-PUN,C,2025-11-16
SO-94267786,CS,CUST-1067,MAT-CG-10012,6,618755.93,2027-01-25,PL-PUN,A,2025-09-19
SO-45961754,CS,CUST-1069,MAT-CG-10048,121,1415934.28,2026-12-20,PL-JAI,C,2025-10-07
SO-36930522,OR,CUST-1060,MAT-CG-10004,135,1344480.5,2026-10-08,PL-CHE,B,2026-01-25
SO-95084307,OR,CUST-1053,MAT-CG-10021,18,2572971.12,2026-11-12,PL-BLR,A,2025-09-06
SO-64474404,OR,CUST-1015,MAT-CG-10039,62,1985353.05,2026-09-07,PL-HYD,A,2025-12-29
SO-68536768,OR,CUST-1083,MAT-CG-10032,145,4010205.04,2026-10-21,PL-BLR,A,2026-06-15
SO-47281925,CS,CUST-1071,MAT-CG-10002,68,352151.11,2026-09-10,PL-PUN,A,2026-07-26
SO-90745350,OR,CUST-1009,MAT-CG-10006,82,1942563.08,2026-12-13,PL-KOL,C,2025-09-21
SO-28865664,OR,CUST-1015,MAT-CG-10006,103,2334128.01,2027-01-06,PL-DEL,B,2025-09-17
SO-43797105,OR,CUST-1012,MAT-CG-10038,136,2695642.37,2026-10-01,PL-KOL,A,2025-10-28
SO-41667072,OR,CUST-1028,MAT-CG-10048,101,1077172.43,2026-10-14,PL-HYD,A,2026-01-10
SO-89118793,OR,CUST-1063,MAT-CG-10027,67,9314605.47,2027-02-26,PL-DEL,A,2025-11-17
SO-43064092,OR,CUST-1019,MAT-CG-10028,123,767137.5,2026-12-03,PL-CHE,A,2025-09-27
SO-98882124,OR,CUST-1089,MAT-CG-10039,10,356137.0,2027-02-18,PL-HYD,A,2025-11-14
SO-95758290,CS,CUST-1047,MAT-CG-10025,81,4958775.14,2027-02-22,PL-DEL,B,2026-04-24
SO-11055770,OR,CUST-1033,MAT-CG-10029,101,844750.09,2026-10-30,PL-CHE,A,2026-06-02
SO-96493863,OR,CUST-1005,MAT-CG-10029,83,691535.06,2026-09-20,PL-PUN,B,2026-01-24
SO-23474864,OR,CUST-1090,MAT-CG-10022,110,21875011.86,2026-09-16,PL-KOL,B,2025-10-19
SO-53858104,OR,CUST-1089,MAT-CG-10047,142,1054381.63,2026-09-13,PL-BLR,C,2026-01-08
SO-10412827,OR,CUST-1026,MAT-CG-10051,36,1130594.08,2026-11-19,PL-JAI,A,2026-06-28
SO-79305456,CS,CUST-1099,MAT-CG-10011,65,5212637.56,2026-10-03,PL-JAI,C,2026-01-25
SO-70597948,OR,CUST-1095,MAT-CG-10051,83,2430468.84,2026-10-14,PL-JAI,A,2026-04-01
SO-65632768,OR,CUST-1024,MAT-CG-10013,23,466104.05,2026-12-05,PL-JAI,A,2026-08-13
SO-96853189,RO,CUST-1081,MAT-CG-10002,144,751456.12,2026-09-22,PL-PUN,A,2026-04-11
SO-16681756,OR,CUST-1080,MAT-CG-10045,45,349936.31,2026-11-05,PL-BLR,A,2026-02-16
SO-25750520,OR,CUST-1092,MAT-CG-10011,147,11310978.19,2026-12-25,PL-PUN,A,2026-05-01
SO-35574404,OR,CUST-1037,MAT-CG-10046,54,600530.35,2026-12-06,PL-BLR,B,2026-05-10
SO-47979220,CS,CUST-1087,MAT-CG-10039,57,1835754.52,2026-10-16,PL-AHM,A,2026-08-09
SO-41606345,RO,CUST-1058,MAT-CG-10019,69,6680535.96,2026-12-03,PL-JAI,C,2025-09-26
SO-11385159,OR,CUST-1018,MAT-CG-10030,23,305310.82,2027-02-24,PL-AHM,C,2026-05-07
SO-66813149,CS,CUST-1077,MAT-CG-10046,100,1038805.73,2026-09-24,PL-NGP,A,2026-07-28
SO-73207479,OR,CUST-1078,MAT-CG-10022,62,13532405.66,2027-01-31,PL-MUM,A,2026-04-16
SO-50601849,OR,CUST-1086,MAT-CG-10033,99,1681714.72,2027-01-21,PL-MUM,B,2026-05-24
SO-77611740,OR,CUST-1044,MAT-CG-10017,45,2967141.63,2026-10-03,PL-DEL,A,2025-11-25
SO-44951103,OR,CUST-1041,MAT-CG-10028,38,226291.5,2026-10-02,PL-PUN,A,2026-02-20
SO-45328305,RO,CUST-1098,MAT-CG-10028,74,498406.11,2027-01-10,PL-KOL,B,2026-05-31
SO-30302410,RO,CUST-1085,MAT-CG-10021,127,19118178.18,2026-12-21,PL-MUM,A,2026-06-08
SO-34580812,OR,CUST-1061,MAT-CG-10004,60,607373.17,2026-12-28,PL-AHM,A,2025-12-13
SO-57851319,CS,CUST-1072,MAT-CG-10003,115,901351.36,2027-01-04,PL-DEL,C,2026-06-09
SO-22559810,OR,CUST-1037,MAT-CG-10008,91,3577514.52,2026-10-13,PL-NGP,A,2025-11-08
SO-88322404,OR,CUST-1068,MAT-CG-10043,56,260652.72,2026-10-16,PL-AHM,A,2026-04-19
SO-22657432,OR,CUST-1004,MAT-CG-10050,129,2807937.52,2027-02-21,PL-DEL,B,2026-02-13
SO-53424580,OR,CUST-1004,MAT-CG-10038,29,561783.38,2027-02-15,PL-PUN,B,2025-10-06
SO-54214932,OR,CUST-1084,MAT-CG-10018,3,239628.67,2026-12-24,PL-KOL,C,2025-11-05
SO-16534020,CS,CUST-1037,MAT-CG-10009,56,2911142.97,2026-09-14,PL-DEL,B,2025-10-19
SO-63533881,OR,CUST-1023,MAT-CG-10025,25,1396876.15,2026-12-11,PL-DEL,A,2026-05-09
SO-64008708,OR,CUST-1083,MAT-CG-10011,101,8015589.71,2027-02-14,PL-BLR,A,2026-03-24
SO-51621092,CS,CUST-1078,MAT-CG-10032,112,2781842.95,2027-02-17,PL-DEL,A,2025-12-04
SO-69786268,OR,CUST-1061,MAT-CG-10013,127,2528297.09,2027-01-31,PL-AHM,A,2026-01-19
SO-68264710,CS,CUST-1055,MAT-CG-10024,49,1642438.86,2027-01-09,PL-KOL,B,2025-09-11
SO-76481027,RO,CUST-1081,MAT-CG-10015,41,1486549.03,2026-09-21,PL-CHE,B,2026-01-12
SO-50318100,OR,CUST-1017,MAT-CG-10006,124,2853867.38,2026-11-15,PL-HYD,B,2026-01-17
SO-16405980,RO,CUST-1010,MAT-CG-10019,147,14251124.86,2027-01-09,PL-DEL,B,2026-01-18
SO-72365138,CS,CUST-1093,MAT-CG-10027,26,3632135.54,2026-11-03,PL-KOL,A,2025-10-28
SO-12183547,OR,CUST-1095,MAT-CG-10006,130,2982736.17,2026-10-15,PL-BLR,B,2026-07-31
